stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.02,1.69,0,15.5,1.69,12.4,0.85,0.56,0,0,0.28,0,3.38,23.96,1.97,37.49,0,0.56,0.28,0.28,129.65,53.55,0,0.28,22.83,0.28,0,10.15,0.56,0.56,1.97,0,0,0
21Day,13.69,2.22,0.74,34.41,0.74,22.94,2.96,1.48,7.77,0.74,12.58,4.44,2.59,23.31,9.62,53.65,0.37,0,6.66,0,41.07,20.72,0.74,0.74,22.57,8.51,0.74,4.44,2.22,5.18,1.48,0,0,10.36
3Month,0,0.31,0,0,0,0,0,0.1,0.31,0,0,0.21,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.1,0.31,0
22Month,0,0.14,0,0.14,0,0,0,0,0.96,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,2.6,0,0,0,0,0,0,0
