stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,13,0,0,0,0,3,0,0,0,1,2,1,26,0,0,0,24,555,0,0,4,0,0,0,0,0,1,0,0,0
72hpf,4.23,1.13,2.25,1.41,1.13,0,0,0,0,0,0,0,2.82,0,16.91,0,0,0,160.65,84.27,0.28,3.1,9.58,0,0,9.86,0.28,0,1.13,0,0,0
21Day,1.48,0,1.48,0,0.74,0,0,0,0.37,0,0,0,0.74,0.37,8.88,0,0,0,31.08,14.43,0,1.11,3.7,1.11,0,2.96,0,0.74,0,0,0,0.74
3Month,0,0.1,1.66,0,0,0.21,0,0,0.83,0.1,0.62,0,1.04,0.42,0.21,0.21,0,0.1,0.1,0.21,0,0.21,0,0.1,0.73,0,0,0,0,0.21,1.04,0.31
22Month,0,0,0,0,0,0.27,0.27,0,3.83,0.41,0.55,0,0.27,0,0.14,0,0.14,0,0,0,0.14,0,0,0,1.23,0,0,0,0,0,0,0
