stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0.56,0,0,0.28,0,0,0,0.56,0,0.28,3.1,0.28,0,0,0.28,0,0.85,0.28,0,0,0.85,0,0,0,0,0
21Day,0.37,0.37,0,1.85,1.48,0.37,0.37,0,0,0,0,1.85,0.74,0.37,2.96,0.37,1.48,0,0,0.37,0.74,0.37,0,0.37,1.48,0,0.37,0,0,0.74
3Month,0,0.21,0.1,1.87,0,0,0.21,0.62,0,2.08,0.52,0.1,0.31,0,0.31,0.62,0.52,0.31,0,0.1,0.1,0,0.1,0,0,0.31,0,0.1,0.1,0.73
22Month,0,0.14,0,0.55,0,0,0,2.19,0.55,6.7,0.55,0.14,0.41,0.14,0.14,1.5,0.41,0,0.14,0.41,0.14,0,0,0.27,0,0.41,0,0,0,0.27
