stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0.56,0,0.28,4.23,5.64,0,0.28,0,0.28,0.28,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0.37,1.85,0,0,0,0.37,0.37,0
3Month,0,0.1,0,0.1,0,0.1,0.21,0.1,0,0.1,0.1,0,0,0,0,3.85,0,0,1.14
22Month,0,0,0.14,0,0,0,0.41,0.14,0,0,0.27,0,0,0.27,0,0.82,0.14,0,0
