stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mt_rich_cell,Muscle_cell,Pancreatic_cell,Primordial_germ_cell
3Month,0,0.1,0,0,0,6.24,0.1,0.1,0.1,0.21,0,0.1,0.1,0
22Month,0.14,0.14,0.14,0.14,0.14,12.57,0.14,0.27,0,0,0.27,0,0,0.27
