stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6,0,0,0,0,0,0,0,0,0,5,0,0,0
72hpf,8.74,1.41,0,10.99,1.69,10.43,0,0.28,0,0.56,0,0,0.85,0,5.07,21.42,1.41,22.27,0,1.69,0.56,0.28,264.66,60.6,0,0.56,0,24.24,0.28,0,7.61,0,0,5.64,0,0,0
21Day,18.5,1.85,2.59,53.28,1.48,29.23,0,9.62,0.37,1.85,8.14,1.85,8.14,6.66,3.7,28.12,7.77,62.53,0,0,5.92,0,220.51,25.9,0.74,2.22,0,20.72,15.91,0.37,7.77,3.33,6.29,1.48,0,0,5.18
3Month,0,0.1,0,1.25,0,0,0.42,0,0.21,0.94,3.54,0.62,0,1.46,0.21,0.83,1.14,0.73,0.21,0,0.21,0.31,18.31,0,0.31,0,0,0.21,0,1.04,0,0,0,0,0.62,0.62,0.83
22Month,0,0.27,0,0.55,0,0,0,0,0,1.09,5.06,0.55,0,0.41,0.27,0.14,0.55,0.96,0,0.14,0,0,22,0,0.14,0,0.14,0,0.14,0,0,0,0,0,0,0,0.27
