stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0.56,0.28,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0.74,0.37,0.37,0.74,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37
3Month,0.52,0.73,7.07,0.1,0,0.52,2.6,0,3.74,0.73,0.42,4.68,1.04,2.18,2.39,1.25,0.1,0.1,0.21,0.52,0.21,0,0.1,0,0.21,0.42,0.42,0.1,0.62,0.31,1.25
22Month,0,0,0.41,0,0.14,0.41,0.27,0.14,3.55,0.14,0,3.01,0,0,0.41,0,0,0.14,0.27,0,0,0,0.14,0.14,0,0.14,0.55,0,0,0,0.41
