stage,Epithelial_cell__Brain_,Erythrocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0.56,0,0,2.25,0
21Day,0,0.37,0,0,0.37,2.59,0,0.37,1.48,0
3Month,0.1,0,0,0,0,0,0,0,0,0.1
22Month,0,0,0.14,0.14,0,0,0,0,0,0
