stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,7.33,0.28,0,1.69,0.28,1.13,0,0,0.28,0,0,0.28,0.85,0,0.85,0,0.28,0,0,6.48,3.1,0,1.41,0,0,0,0,0,0
21Day,5.92,0,0,0.74,0,0,0,0,0.37,0,0,0.37,0.74,0.37,1.85,0,0,0.37,0,0.74,1.11,0,0,0.37,0,0.37,0,0,0
3Month,13.73,0.52,0.1,0.73,0.1,0,0.1,0.31,0.52,0.1,0.21,0.73,0.42,0.21,0.62,0.21,0,0,0.1,0,0,0.1,0,0,0.1,0,0.1,0.21,0.31
22Month,11.21,0,0.14,0,0,0,0,0.27,2.05,0,0,0.14,0,0.14,0.14,0.14,0.14,0.14,0,0,0,0,0.14,0,0,0,0,0,0
