stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,1,0,0,1,0
21Day,0,0.37,0,0,0,0.74,0,0,0,0,0
3Month,0.21,0,0.1,0.1,0.1,0,0,0.1,0.1,0,1.66
22Month,0,0,0,0,0,0.14,0,0,0,0,0.55
