stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.23,0,0,0.28,0,0,0,0,0,0,0,1.41,0,0,0,0,0,1.13,1.41,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,22.57,0.37,0,1.48,0,0,0.74,0,0,0,0,1.48,0,0.37,0,0,0,1.11,0.37,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0.1,0.42,0.62,34.33,0,0.31,102.98,0.31,0,9.99,1.35,0.21,3.33,1.14,1.04,0.83,1.14,0.31,0.52,0.21,0.1,0.1,0.42,0.1,0.1,0.42,0.83,0.1,0,0.31,1.04,0.62
22Month,0,0,0.27,4.37,0,0,26.1,0.41,0,2.87,0,0,1.5,0.27,0.14,0.55,0.14,0,0,0,0,0,0.27,0.27,0,0.14,0.27,0,0,0.14,0,0
