stage,Cardiomyocyte,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
72hpf,0,0.28,0,0,0,0.28,0,0,0.28,0,0,9.86,0.85,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0.74,2.96,0.74,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1
22Month,0,0.14,0.14,0.14,2.73,0,0.14,0.14,0,0.27,0.27,0,0,0.14,0.14,0.14,0
