stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,2,0,0,0,1,0,0,0,4,2,0,0,0,18,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,12.12,0.28,0,0,2.25,0.28,0,0,0.56,0.28,0,0
21Day,0,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0
3Month,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.21
22Month,0.41,0.14,0,0,0.14,0,3.69,0.27,0.41,0.14,1.23,0.14,0.27,0,0,0.14,10.11,0,0,0.14,0
