stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,4,0,0,0,2,49,0,0,1,0,0,0,0,0,0,0
72hpf,1.13,0.56,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0.85,1.41,0.28,1.97,0,0,0,20.57,8.17,0,0,0.85,0,0,0.28,0.28,0,0,0
21Day,0.37,0,0,1.85,0,0.74,0,1.85,0,0.37,0,0,0,0.37,0.74,0,0.37,0.74,0.74,3.33,0,0,0,4.44,3.33,0,0,0.37,0.74,0.37,0,0,0,0,0.74
3Month,0,0.62,0.21,3.02,0,0,0.1,0.1,0.21,0.62,0,0,5.93,0.52,0.21,3.02,0.31,1.46,1.25,2.08,0.1,0.31,0.83,0.31,0,0.21,0.1,0.21,0.21,10.19,0,0.1,0.73,4.99,1.25
22Month,0,0,0,0.41,0,0,0,0,0,0.14,0.14,0,2.32,0,0,1.09,0,0,0,0.14,0,0,0,0.14,0,0.14,0,0,0,0.27,0,0,0,0,0
