stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,1,0,0,0,0,7,10,15,0,0
72hpf,0,0,0.28,0,0,0.28,2.25,0.56,0.28,0
21Day,0,0.37,0,0.37,0.74,0.74,0.37,0.37,0,0.37
3Month,0,0.62,0,0,0.21,0,0,0,0,0.1
22Month,0,0,0,0,0,0,0,0,0,0.96
