stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,1,0,0,1,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0.85,0,0,0.28,0,0,0.28,0,0,0,0
21Day,1.11,0,0.74,0,0,0,0.74,0,0,0,0,0,0
3Month,0,0.1,0.83,0,0,0,0.1,0,0,0,0.21,0,0.1
22Month,0,0,0.14,0,0.27,0,0.41,0.14,0,0,0,0.41,0
