stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0,2.59,0,2.22,0,1.85,0,0,0,0,1.48,18.87,0.37,0,1.48,2.22,1.11,0,0,1.85,0,1.48,0.74,0,0,0.74,2.96,0,0,0.37,0,0,0,19.24
3Month,0,0.42,0.1,4.37,0,0,0.52,1.25,0.83,4.78,0,4.78,21.32,0.94,2.18,1.46,0.94,9.67,1.87,0.62,0,1.46,0.31,0.21,0,0.31,0.52,0.1,1.14,0.21,1.77,0.1,0,0.83,1.04,118.27
22Month,0,1.91,0,1.78,0.14,0,0.82,1.64,0.14,7.24,0.27,8.75,20.09,3.42,1.23,0,0,16.81,1.64,0.27,0.41,0.41,0.14,0,0,0.55,0.14,0,0.82,0,0.55,0.27,0.14,0,0,73.11
