stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0,2.22,0.37,0,0,0,0,0,0.37,0,0.37,4.07,0,0,1.48,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0.1,0.42,2.6,0,0,0,0.42,0.73,0,4.06,0.52,0,22.16,0.31,0.21,2.5,0.1,0.1,0,0.1,0.21,0,0,0.21,0,0.21,0.52,0,0.1,0.1,0.52
22Month,0.27,1.23,3.96,12.44,0,3.83,0.14,6.42,3.69,1.37,625.44,0.55,1.09,42.77,0.82,1.64,8.2,3.69,0.27,7.79,1.09,1.78,0.27,0,1.64,0.55,2.05,0,0.14,1.37,0,6.97
