stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0.56,2.82,0,0.56,0,0,0,0,7.33,3.38,0,0.28,0,1.97,0,0,0.28,0,0.28,0,0,0
21Day,0.37,0,0,1.11,0,3.33,1.11,0,0,0,0,0,0.37,0.74,0,0.74,2.22,0.37,4.81,0,0,0.37,0,2.22,1.11,0.74,0,0,0.74,0,0,0.37,0,0.74,0,0,0.74
3Month,0,0.62,0.31,3.33,0.1,0,0.1,0.1,0.94,1.25,0,5.62,1.98,0,1.35,0.21,1.14,0.94,1.04,0.21,0,0.52,0.31,0,0.1,0.1,0.1,0,0.1,0.1,1.46,0,0,0,0.62,1.25,1.25
22Month,0,0.27,0.41,1.64,0,0,0.14,0,0.41,2.05,1.91,18.04,0.82,0.27,2.05,0.14,0.41,1.37,1.09,0,0.55,0.55,0.14,0.55,0,0.41,0.14,0.14,0,0,0.55,0,0.14,0,0.14,0,0.68
