stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,1.97,0,0,0.28,0,0,0,0,0,0
21Day,1.11,0,0,1.48,0.37,0,0,0,0,0.37,0,5.55,0,0,0,1.85,11.47,0,0,0,0,0.37,0,0,0,2.96,1.11,0,0,0,0.37,0,0,0,0.37
3Month,0,0,0.1,1.04,0,0.1,0.42,1.04,0,3.85,0.42,0,1.46,0,0.21,11.44,1.25,0.42,0,0.1,0.21,0,0.1,0.1,0,0,0.31,0.73,0,0,0,0,0.21,0.52,1.35
22Month,0,0.82,0,3.14,0,0.14,0.55,1.64,0.27,6.7,0.41,0.14,0.82,0.27,2.73,27.33,4.1,0.27,0.14,0.14,0,0,0.27,0,0.27,0,0,0.82,0.27,0.41,0,0.14,0.41,0,1.23
