stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,5,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,6,118,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,1.13,0,2.54,0.28,1.41,0,0,0,0,0,0,0,0,0,0.85,3.1,0.28,3.66,0,0.56,0,0,202.65,54.4,3.66,0,3.38,0,0,1.69,0,0,0,0,0,0
21Day,1.48,0,0,2.59,0,0.37,0,0,0,0,0,0,0,0.37,0.74,0,0.37,1.11,1.11,0,0,0,0,55.5,11.1,0.74,0,1.48,1.48,0,0.74,0,1.48,0.37,0,0,0
3Month,0.31,0.31,0.1,1.98,0,0,0,0.1,0.52,0,0,2.18,0.42,0.21,0.62,0.21,0.52,0.73,0.83,0,0,0.1,0.1,2.39,1.14,1.35,0,0,0.31,6.66,0,0,0,0,0.1,3.64,0.94
22Month,0,0.96,0,1.23,0.14,0,0.27,0.41,5.06,0.27,0,12.16,3.69,0.27,0.96,0,0.14,2.46,1.78,0.14,0.27,0.14,0,0.41,0.14,0.27,0.14,0,0,6.01,0.14,0.14,0,0,0,0.14,0.27
