stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0.74,0,0,0.74,0,1.11,0.37,0,0,0.37,0,0,0,0,0
3Month,0.42,0.1,2.6,0.73,0.1,0,2.81,0.73,0,4.06,0.1,0.1,0.83,0.83,0,0.73,0.1,0,0.1,2.91,0.1,19.24,2.08
22Month,0.68,0.14,0.41,0.41,0,0.27,5.19,0.14,0.14,2.05,0,0,0.82,0.68,0.14,0,0.14,0,0.14,2.32,0,0.14,0.41
