stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,2,0,1,11,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0.56,1.97,0,0,0
21Day,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0.21,0.1,0.1,0.31,0.1,0.1,0.31,0,0.21,0.31,0.31,0.21
22Month,0,0.27,0,1.91,0.14,0,0,0.14,0,0,0.41,0,0
