stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,6.48,1.13,0,22.83,0.85,9.3,0,0.28,0,0,0,0,0,0.56,0,3.38,954.34,0.85,11.84,0.56,0.28,75.82,33.54,0.28,12.68,0.28,0,4.51,0,0.28,0.85,0,0
21Day,0.37,0,0,15.17,0,0.37,0,0,0,0,0,0,0,0,0,0.37,28.12,0,0.74,0,0,0.74,1.11,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0,0,0,0.42,0,0,0,0,0.1,0.21,0,0.21,0,0,0.1,0,0.1,0.21,0.1,0,3.54,0,0,0,0,0,0.94,0,0,0,0,0,0.94
22Month,0,0,6.97,0.68,0,0,0.41,0.14,1.37,1.91,0.55,18.45,0.41,0.14,12.98,0.14,0.27,1.23,1.23,0.68,0.41,0,0,0,0,0,0.82,0,0.14,0,0,0.14,0
