stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,1.69,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,2.96,0,0,1.11,0.37,0,0.37,0.74,11.47,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,3.33
3Month,0.31,0.52,0.1,1.46,0,0.52,0.31,83.73,0,3.12,33.08,0,0.83,0.21,0.83,27.98,1.14,0,0.31,0.42,0,0,0,0,1.04,0.1,0.21,0,0.1,0.31,0.73,9.36
22Month,0.14,0.55,0,0.41,0,1.23,0.41,167.4,0.14,4.24,12.85,0.14,0.96,0,0.27,37.44,0.82,0.27,0,0.14,0,0.14,0.41,0.14,0,0,0,0.41,0.41,0,0,6.15
