stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
72hpf,32.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,2.82,3.1,0,0,0.28,0,0,0,0,0,0,0,0
21Day,25.53,0,0,1.11,1.48,0.37,0,0,0,0.74,0,0,0,0,0.74,0.37,2.59,0,0,0.37,0.74,0.74,0,0,0,0,0,0,0,0,0,0,0
3Month,0.21,0,0,1.98,0,0.1,0.1,0.62,0,18.2,0.62,0,1.46,0.1,0.52,0.73,0.52,0.1,0,0,0,0,0.1,0.1,0.1,0.42,9.67,0,0,0,0.21,1.87,0.83
22Month,0.14,0.27,0.14,0.68,0,0.27,0.14,0.14,0.14,12.98,0.14,0.41,1.09,0.27,0.14,0.14,0.27,0,0.41,0.14,0,0,0,0,0.14,0.14,1.91,0.41,0.55,0,0,0.14,0
