stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,1.69,0.56,0,0.28,0,0,0,0.28,0.56,0.28,0.28,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,2.96,0,0.74,0,0,0,0,0,0.37,0.37,0,0.37,0.37,0.37,0,0,0,0
3Month,0,0,0.62,0.94,0.1,0.52,0.1,0.83,0.31,0.1,16.54,0.21,0.42,0.73,0.52,0.1,0,4.99,0,0,0.1,0,0.1,1.04,0,0.1,0.1,0.42
22Month,0,0.14,0.68,0.82,0.27,0.41,0,4.1,0,0,21.32,0,0,0.27,0.27,0.27,0.41,0.96,0,0,0,0,0,0.27,0,0,0,0.14
