stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,0.56,1.41,0,1.69,0,0,0,0,7.05,3.66,0,0,0,0.85,0,0.56,0,0,0.28,0,0,0
21Day,1.85,0,0.37,4.44,0.37,2.59,0,4.44,0,1.11,0,0,0,3.33,0.37,1.48,2.96,2.22,4.81,0,0,0,0,4.44,4.81,0,0,0,2.22,0,0.74,0.37,1.11,0,0,0,1.11
3Month,0.21,0.73,0.31,9.05,0.31,0,0.1,0.52,1.04,4.06,0,12.79,2.81,0.42,8.01,2.08,2.39,6.35,1.56,0.83,0.1,2.5,1.35,0.73,0.1,1.04,0.21,0,0.31,10.82,0.21,0,0,0.1,0.31,2.18,4.37
22Month,0.14,0.27,0.82,4.1,0,0,0.14,0.27,1.64,8.2,4.37,33.89,1.09,1.5,6.7,0.14,0.68,7.79,1.37,0.14,0.27,0.82,0,0.27,0,0.96,0.27,0.41,0,1.91,1.91,0.14,0,0.14,0.55,0,2.05
