stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,9.58,0.28,0.56,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,1.85,0.37,0.74,0,0,0,0,0,0,0,0,0.37,0,0,0,11.1,0.37,3.33,0.37,0,0.74,0,0,0.37,0,0
3Month,0,0.1,0.1,0.1,0,0,0.21,0.21,0,0.73,0.21,0,0.1,0.21,0,0.31,0.1,0.1,0.52,0,5.2,0,0.1,0,0.42,0,0,0.1,0
22Month,0,0,0,0.14,0,0,0,0.14,0.27,2.87,0,0.14,0.27,0,0,0,0,0,0.27,0,2.46,0,0,0,0,0.14,0,0,0.14
