stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0.37,0,2.22,0,0,0,0,0
3Month,0,0.1,0,0,0.42,0.42,0.21,0.1,0,0.1,0.1,0.62,4.16,0,0,0,0.1,0.1
22Month,0.14,0.27,0.14,0.14,1.37,0.14,0,0.14,0,0,0,0,3.83,0,0.27,0.14,0,0
