stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,1,14,163,0,0,0,2,0,0,0,0,0,1,0,0
72hpf,4.23,0.56,1.13,0.85,0.56,0,0,0,0,0,0,0,0.56,1.41,0.85,7.05,0,0.28,0,0,95.55,31.29,0.28,1.97,0,3.38,0.28,0,4.23,0.28,0,0,0,0
21Day,1.48,0,1.85,0,0.37,0.74,0,0,0,0,0,0,1.11,0.74,0,5.55,0,0,0.74,0,32.93,12.21,0,0.74,0,0.74,0.37,0.37,0.74,0.37,0.37,0.37,0,0.37
3Month,0,0,0.52,0,0,0,0.1,0,0.1,0.21,0,0.52,0.1,0.21,0.31,0.42,0.21,0,0,0,0.42,0.1,0,0,0,0,0,7.49,0,0,0,0,1.87,0.21
22Month,0,0,0,0,0,0,0,0.14,2.05,0.27,0.14,0.14,0.14,0.27,2.73,0.14,0.27,0,0,0,0.41,0.14,0.41,0.41,0.27,0,0,0.41,0.27,0,0,0,0,0
