stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0.74,0,0,0.37,0,5.18,0,0,0,0.37,0,0,0,0,0.74,0,0,0,0.37,0,0,0.37
3Month,0,0.1,0.83,0.1,0.21,0.83,0.62,0.21,0.31,0.31,0.21,0.21,0,0.1,0.21,0,0,0.31,0,0.31,10.3,0.1,6.45,0.73
22Month,0.14,0,0.27,0,0,4.1,0.14,0,0.27,0.14,0.14,0.14,0.14,0,0,0.14,0,0,0,0.14,6.56,0.14,0,0
