stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0.56,0,0.28,1.41,0,0,0,0.56,0,0
21Day,0,0,1.85,0,0.74,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0.37,0,0.37,0,0,0.74,0.37,0,0,0.74,0,0
3Month,0,2.6,6.14,0.1,0,0.1,0.1,0.73,0,1.56,0.21,0.31,0.52,0.83,0.83,1.04,3.22,0.31,0,0,0.42,1.46,0.1,0.42,0.31,0.1,0.31,0,0.1,1.98,0.31
22Month,0.14,2.05,4.65,0,0,0,0.27,1.78,0.27,3.55,0.27,1.37,0.68,0.27,0,1.09,2.32,0.27,0.27,0,0,0.68,0,0.55,0.14,0,0,0.14,0.14,0.55,0.55
