stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,2,0,0,0,0,0
21Day,0.37,0,0,0,0.37,0.37,0,0.37,0,0,0
3Month,0.21,0.1,0.1,0.1,0,0,0.1,6.97,0.1,1.98,0.1
22Month,0,0,0,0,0,0,0,0.96,0,0,0
