stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0.28,0,0,0,0.28,0,0.85,0,8.17,1.13,0.85,0,0.28,0
21Day,0,0,0.37,0,0,0,0.37,0.37,2.96,3.7,0.37,0.37,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0.31,0,0,0.1,0,0.1
22Month,0.14,0.68,0,0.14,0.96,0,0,0.14,0,0,0.14,0,0,0.41,0
