stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,3.1,0,0,0,0,0.28,0,0,0,0
21Day,1.11,0.74,0,0,0,0,9.25,0.37,0,0.37,0,0,0,0,0,0
3Month,1.46,0,0.31,0.1,1.25,0.31,8.11,0.21,0.1,0,0.1,0.52,0.42,0.21,0.21,0.1
22Month,0.14,0,0,0,0.96,0.27,1.23,0,0,0,0,0,0,0,0,0.14
