stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,11,0,0,0,0,0,0,0,0,0,1,7,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.97,0.28,0,0,0,0,0,0,0,0,0.28,30.72,0,0.28,0,0,0,0,1.13,1.13,0,0.56,0,0,0.28,0,0,0,0
21Day,0.37,0,0,51.06,1.48,0,0,0.74,0,0,0,0.37,0,0.74,18.5,0.74,0.74,0,0,0,0,1.85,1.11,0,0.37,2.59,0,0,0.37,0,0,0.37
3Month,0,0.94,0.1,55.34,0,0.42,0.94,2.29,0,2.91,0.52,0,1.66,0.52,53.46,1.77,0.94,0.21,0.1,0.42,0.42,0.1,0,0.1,0,1.25,1.98,0,0,0.21,0.83,0.42
22Month,0,0.14,0,5.6,0,0.14,0,0.68,3.01,1.64,0,0,0.27,0.27,5.88,0.82,0.14,0,0.14,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0
