stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,1.69,0.56,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0,2.22,0,0.37,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.37
3Month,0,0.31,0.52,12.79,0.1,0.31,2.18,2.18,0,6.35,2.91,0.21,7.39,0.83,1.98,3.33,1.14,0.62,0,0.94,0.62,0.21,0,0.73,0,0,0.31,0.31,0.1,0.42,0.1,7.18
22Month,0.14,1.5,0.68,4.78,0.14,0.41,2.19,6.01,0.68,46.6,2.19,2.32,12.16,0.55,0.68,3.14,3.69,0,1.23,0.27,0.14,0.41,0.14,0.55,0.14,0.14,0.27,0.55,0,0,0,1.37
