stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,0.28,0,0,0,0,0,0,0,0,0.28,0.56,0.85,1.69,0,0.28,0,0,17.19,8.17,0,0,0,1.41,0,0,0.85,6.76,5.07,0,0,0,0
21Day,2.22,0.37,4.81,2.22,0.37,0,0,0,0.37,0,0.74,0,0.37,0.37,0.74,6.29,0,0,0,0.37,12.95,2.96,0,0,0,2.22,1.48,0,0.37,30.71,149.1,0,0,0,0.74
3Month,0,0,1.66,0,0,0.1,0.42,0.21,0.52,0.42,0,0.21,0.1,0.52,0.83,0.1,0.21,0,0.21,0,1.14,0,0.31,0,0,0.1,0.21,1.66,0.83,0.21,0.1,0,0.1,1.46,0.42
22Month,0,0,0.96,0,0,0,0.27,0.14,4.51,0.55,0.27,0.41,0,0.14,0.55,0.68,0,0.27,0,0,1.91,0,0.55,0.27,0.14,0,0.14,1.37,1.23,11.75,0.14,0.14,0,0,0.27
