stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Spermatocyte,T_cell
24hpf,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,8,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0.56,1.69,0,0,0,0
21Day,1.11,0,2.59,0.37,0,0.37,0,0.37,0,0.37,0.37,0.37,0.37,0.74,0.74,0,0.37,1.85,0.37,0.37,1.85,0,0.37
3Month,0,0,0.21,0,0.1,0,0.21,1.56,0.1,0,0.52,0,0.42,0,0.42,0.1,0.1,0,0,0,0,0.1,0.31
22Month,0,0.14,0,0,0,0,0,3.42,0.14,0,0,0.14,0,0.14,0.41,0,0,0,0,0,0,0,0.14
