stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,10,0,0,0,0,0,0,0,1,0,1,2,5,11,7,140,1,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0.28,0,0.56,1.69,0,3.95,3.95,8.74,0.85,0,0.28,1.13,0.28,0,0,0
21Day,0.74,0,0.37,1.48,0,0.37,0,0,0,0,0.74,0,0,0.74,0,1.85,1.48,2.96,0,0.37,0,0.37,0,0,0,0.37
3Month,0,0,0.31,0,0,0,0,0,0.21,0.21,0,0.31,0.1,0,0.1,0,0.1,0,0,0,1.04,0,0,0.1,0.1,0.1
22Month,0,0,0,0,0.14,0,0.27,0.14,0.27,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0.14
