stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
72hpf,0,0.56,0.56,0.28,0.85,0,0,0,0,0,0,0,0,0,0.56,1.13,0.28,2.25,0,0,0,29.03,4.23,0,0,1.69,0,0,0.56,0,0,0
21Day,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,3.33,0,0,0,0,0.37,0.74,0.37,0,0,0
3Month,0,1.77,1.66,0,0,0.1,0.1,0.52,0.52,0,1.04,0.21,0.31,0.21,0.21,0.31,3.54,0.94,0.21,0,1.56,0.73,0,0.31,0.1,0.42,0,0.94,0,0,0.42,0.31
22Month,0.14,3.96,1.78,0,0,0.14,0,0.14,0.41,0.41,1.91,0,0.27,0,0,0.14,1.78,0.82,0.14,0.14,0.68,0.41,0,0,0,0.27,0.14,3.83,0,0.14,0,0
