stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.56,0.28,0,0,0,0,0,0,0.28,0,0
21Day,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0.21,2.08,0.1,0.1,0.21,1.25,0,2.39,1.04,0.1,1.46,0.62,1.14,1.25,1.35,0.21,0,0.62,0.1,0.1,0.21,0,0,0.42,0.94,0,0,0.31,1.46
22Month,0.14,0.82,0.41,2.87,0.27,0,0.14,2.46,1.09,11.62,0.55,0.14,3.42,0.27,0.82,1.91,2.05,0,0.68,0,0.14,0.14,0.55,0.14,0.14,0,0.55,0.68,0.14,0.14,0.96
