stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,2,1,0,2,0,0,0,0,0,0,0,0,2,0,2,4,0,2,43,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0.28,0,0,0,0,0,0,0,0.28,2.54,0,2.25,0,12.4,5.64,0,0.28,1.97,0,1.13,0,0.28,0,0
21Day,1.48,0,0,2.59,0.74,2.22,0,0,0,0,1.11,0,0,1.11,0,2.59,0.37,5.18,4.07,0,0,1.11,0,0,0.37,0.74,0,0
3Month,0,0.1,0,1.56,0,0,0.1,0,0,1.14,0,0.31,0,0.1,0.42,0.31,0,0.1,0.1,0,0.1,0,1.46,0,0,0,0.1,0.31
22Month,0,0.14,0.14,0.82,0,0,0,0.14,0.14,2.32,0,0.14,0,0.27,0,0.14,0.14,0,0,0.14,0,0,0.68,0,0,0,0,0
