stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0.56,0.85,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,1.11,0,0,0,0,0,0
3Month,0.1,0.1,0.62,0.1,0,0.31,0.31,0.1,0.1,0.1,0.1,0.1,13.63,0.1,0.1,6.66,0.1
22Month,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0
