stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0.28
21Day,0,1.85,0.74,0.37,0.37,0.37,0,1.11,0.37,0,0.37,0.74,0,0.37,0.37,0.37,0,0,0
22Month,0.14,0.14,0,0,0,2.46,0.14,0,0.14,0,0,0.14,0.14,0,0,0,0.14,0.14,0
