stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,21,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0.85,0,0,0,0,0,0,0,0,10.99,5.36,0,1.13,0,0,0,0,12.12,1.13,1.69,0,0.85,0,0.28,0.56,0,0,0,0
21Day,0,0,7.4,0,0,0.37,0,0,0,0.37,0,1.48,0,24.79,2.22,2.59,1.85,0,0,0,0.37,2.59,1.11,0.37,0,0.37,0.37,0,0,0.37,0,0,0
3Month,0.1,0.1,9.67,0.31,0,0,0.21,0.1,0,2.6,0.31,0.1,0.73,53.98,0.83,0.73,0.52,0.21,0,0.31,11.44,0.21,0,0.94,0,0.1,0,0.94,0,0,0.42,0.31,0.1
22Month,0,0,2.05,0,0,0,0,0.55,0.14,2.46,0,0,0.55,4.24,0,0,0.68,0,0.14,0.14,0.14,0.14,0,0.14,0.27,0,0,0.68,0,0,0,0,0.27
