stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,4.51,0,0.85,0,0,0,0,0,0,0,0,0.56,13.25,0,0.56,0,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0
21Day,0,0,7.03,0,0,0,0,0,0,0.37,0,0,0.37,0,5.92,0,5.92,0,0,0,0,1.11,0.74,0,0,0,0.74,0,0,0,0,0,0
3Month,0.94,0.31,5.2,0.21,0,0,0.31,1.04,0,3.74,0.83,0,6.55,3.54,19.14,0.31,16.64,0.31,0,0.62,0.52,0,0,0.21,0.21,0,0.21,0.73,0.1,0,11.75,0.52,0.83
22Month,0.55,0.14,3.83,0,0,0.14,0.41,1.23,22.55,12.98,0.82,0.41,9.98,1.78,2.6,0.96,2.19,0,1.09,0.41,0,0,0,0.14,0,0.41,0,0.14,0,0.14,0.41,0,0.41
