stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.85,0.85,0,0,0,0,0,0.28,1.13,0.28,1.13,0,38.33,1.13,0.28,0.56,0.56,0,0,0.56,0.28,0,0
21Day,1.48,0.37,0.37,0.74,0,0.37,0,0,0,0.37,0,0,0,0,3.33,0,12.58,0.37,0,0.74,0.37,0.74,0,0.37,0,0,0
3Month,0,0.1,0,0.21,0.1,0,0.1,0.73,0.21,0,0,0,0.1,0,0.73,0.1,0,0,0,0,0,0,2.08,0,0,0.21,0.83
22Month,0,0,0,0,0,0,0,0.82,0.14,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0.41,0.14,0,0,0
