stage,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0.85,0,0,0.28,0,0,7.05,0,0,0
21Day,0,0,0,0,0,0.37,0.74,0,0,0,0,0,2.59,0,0.37,0
3Month,0,0.1,0,0.31,0,0,0.31,0.1,0,0,0,0.1,0,0.31,0,0.1
22Month,0.14,0,0.14,1.78,0,0,0,0,0.14,0,0.14,0,0,0,0,0.14
