stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0,1.13,0,0,0,0,0,0,0,0.28,1.41,0,0.56,0,0,0,0,59.19,2.25,0.28,0.85,0.28,0,0,0.56,0,0.28,0,0,0
21Day,0,0,0,1.48,0,0.37,0,0,0,0,0,0.37,0.37,0.37,0.37,0.74,0.74,0,0,2.22,0,24.05,1.11,0,1.11,0,1.48,0,1.11,0,0,0,0,0
3Month,0.1,0,0,1.25,0,0,1.25,0,0,0.83,0.31,0,1.04,0.21,0.31,0.1,0.42,0.21,0,0.1,0.21,3.85,0.1,1.98,0.1,0.1,0,3.22,1.25,0,0,0.21,15.19,0.42
22Month,0,0.55,0.27,0.68,0.27,0,0.96,0.14,0,3.55,0,0,1.78,0,0.27,0.27,2.05,0,0.41,0.27,0,3.83,0.14,3.14,0.14,0.14,0,0.82,10.52,0.41,0,0,0,0.14
