stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,2,7,0,1,0,0,0,0,3,3,18,0,5,105,4,0,0,0,0,1,0,0
72hpf,0.28,0.56,0.28,0,0,0,0,0,0.56,0.56,0,1.69,0,3.1,7.05,0.85,0.28,0,0,0,0.28,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0.37,0,1.48,0,0,0.37,0.74,0,0,0.74,0.37,0,0,0
3Month,0.1,0,0.31,0,0,0.21,0,0.1,0.21,0,0.1,0.1,0.1,0,0,0,0,0.42,0,0,0,0.1,1.04
22Month,0,0,0.27,0,0,0.82,0.14,0.41,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0
