stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,2,42,0,2,0,0,0,0,0,0,0
72hpf,0.56,0.85,0,0.28,0.28,0,0.28,0,0,0,0,0,0,0.56,2.54,0,1.97,0,0.28,0,0,9.3,7.05,0.28,0.85,0,0.28,0,0.28,0,0,0.28
21Day,0.74,0,0,4.81,0,0,0.37,0.37,0.37,0,0,1.85,0,0.74,0.74,0,4.44,0,0,0,0,4.81,6.29,0.37,1.48,0.37,0.74,0.37,0,0,0,0.74
3Month,0,0.42,0.1,2.81,0.1,0.1,0,0.1,0.73,5.72,0.1,0.1,1.04,0.52,0.73,0.21,0.73,0.1,0,0.21,0.31,0,0.21,0,0,0,3.85,0,0,0.31,1.87,0.52
22Month,0,0.14,0.41,0.55,0,0,0.14,0.14,0.27,5.19,0,0,4.78,0.27,0,0.27,0.68,0,0.14,0,0,0,0,0.55,0,0,0.55,0.14,0,0,0,0.14
