stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0,2.22
3Month,0.21,0.21,0.52,0,0,0.21,0.52,0.21,0.21,0.1,0.1,5.3,1.04,0.31,0,0.21,0,0,0,0.31,0.1,13.94
22Month,0.14,0,0.27,0,0.27,0.82,30.75,0.27,0.27,0.14,0,3.42,0.55,0,0.14,0.14,0,0,0.14,0.82,0.14,12.3
