stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,3,1,0,0,2,20,0,2,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,1.41,0,0,0.28,0,0,0
21Day,0.37,0,1.11,0.74,0,0,0,0,0.37,0,1.48,0,0,0,0,0.37,0,0.37,0,0,0
3Month,0,0.1,2.5,0,0.73,0.1,0.1,0.31,0.1,0,0.1,0,0.1,0.21,0,0.1,0,0,0.21,0.1,0.42
22Month,0,0,0,0,0.82,0,0.27,0,0.14,0.27,0.14,0.14,0,0,0,0,0,0,0.14,0,0
