stage,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Osteoblast
24hpf,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0.56,0.28,0.28,0.56
21Day,0,0,0,0,0,0,0.37,0,0.37
3Month,0.21,0,0.1,0,0,0,0,0,0
22Month,0,0.14,0,0.14,0.68,0.14,0,0,0
