stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,6,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0
72hpf,9.58,0.56,0.28,0,0,0,0,0.56,1.69,0,0,97.52,1.69,0,1.97,1.97,0,0,1.69,1.13,1.69,0,0
21Day,12.58,1.11,0.37,0,0,0.37,0,0,0.37,0,0,22.2,1.11,0,2.22,0.74,1.85,0.74,0.37,0,2.59,0,0
3Month,0.21,0,0,0,0.1,0,0.21,0,0.1,0,0.21,0.42,0,0.31,0.42,0.1,0,0.21,0,0,0,0.1,0
22Month,0,0,0,0.14,0.55,0.14,0,0,0,0,0.27,0,0,0.41,0.96,0,0,0,0,0,0,0,0.14
