stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,6,5,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,3.66,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,4.79,0,0.56,0,3.1,2.25,0,0.85,3.95,0,0,0,0,0,0,0,0
21Day,1.48,5.18,2.59,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,17.02,0,4.07,0,2.96,2.22,0,1.48,8.51,0.74,0.37,0.74,0.37,0,0.37,0,0
3Month,0.1,11.13,1.98,0,0.1,1.04,0.21,0.21,0.83,0.42,2.81,0.62,0.31,0.52,0.21,3.12,0.94,14.46,3.74,1.98,0.31,0.1,0.21,0.31,1.98,1.04,0.31,11.34,0,0,0.1,9.57,0.62,0.62
22Month,0,15.44,1.23,0,0,0.55,0,0,0.14,3.55,3.96,0.27,0.55,0.96,0,0.55,0.68,9.29,0.55,0.96,0,0.14,0,0.27,2.19,0.55,0,0.27,0.55,0,0.14,0.82,0,0.27
