stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,11.27,0,0,0,0,0,0,0,0,1.97,12.97,0,0.56,0,0,0,0,5.36,1.13,0,0,0,0,0,0,0,0,0,0,0,0
21Day,5.18,0.37,0,175.37,6.66,1.48,0,0.74,1.11,1.85,3.7,1.48,6.66,41.81,3.33,13.32,0,0,1.85,0,13.32,8.51,0.37,0,4.07,5.18,0.37,0.74,0.74,3.7,0.74,0,0,2.22
3Month,0.1,0.1,0,33.29,0,0,0.52,0.73,1.87,0.62,0,1.14,8.11,9.26,0.42,0.94,0.31,0,0.21,0.31,1.77,0,0.1,0,0.1,3.33,1.35,0.1,0,0,0,0.52,1.14,0.83
22Month,0,0.14,0.14,18.72,0,0,1.23,0.41,3.28,0.14,0,0,0,9.7,0.14,0.41,0,0.14,0.14,0,0.68,0,0,0.14,0,1.37,0,0,0,0,0,0,0,0
