stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,18.88,1.13,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0.37,0.74,0,0,0,0,0,0,0.37,0,0.74,0.37,0.37,0,1.11,0,11.1,0.37,0,0,0,0,0,0,0.37,0,0
3Month,0.1,0.1,1.46,15.29,0,0.21,0.1,0,4.06,0.1,4.47,0.1,0.42,1.25,0.94,0,0,1.77,0.21,0,0.42,0,0.1,0.1,0.52,0,0,0.21,0.21
22Month,0,0.27,1.09,1.91,0.27,0.55,0.14,0.14,9.43,0,3.28,0,0,0.68,0.55,0.14,0,0,0.55,0,0,0.14,0,0,2.19,0.14,0,0,0.41
