stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0,0,0,0,0,0,4.79,0,0,0.28,0,0,0.56,0.28,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0.37,3.33,0.37,0,0,0,0,0.74,1.85,0,0
3Month,0,0.1,0.21,0,1.14,0.1,0.1,0.1,0,0.21,0,0,0.1,0,0.1,1.25,0,0,0.1,0.1
22Month,0.14,0,0.14,0,1.09,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0
