stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,223,163,0,1041,10,11,0,15,0,0,3,0,44,4,0,1,0,53,45,362,1205,0,1,0,13,480,2441,5,0,0,197,0,0,0,0,0,0,24,0,0,0
72hpf,101.18,159.24,0,272.55,32.13,39.74,0,1.69,0,0,10.43,1.13,0.28,1.41,0,3.38,0,66.52,707.44,105.13,928.97,0,23.96,23.68,16.91,470.97,435.46,6.2,12.12,0,855.41,6.2,0,0,142.05,5.36,5.64,68.49,0,0,0
21Day,486.53,152.8,12.95,837.65,37.74,119.14,0,24.79,0,6.66,25.9,4.44,0,41.44,44.4,64.01,23.68,46.99,370.73,189.06,2653.55,2.59,2.59,318.93,4.44,293.77,371.84,13.32,43.29,0,762.54,138.01,0,0.74,94.72,15.91,41.07,48.47,7.03,0,56.61
3Month,34.01,528.3,48.78,2298.57,15.71,0,30.48,8.22,18.2,223.12,913.37,8.01,0,1654.08,1949.28,27.15,299.46,182.97,1133.47,675.9,1660.63,289.9,9.78,260.87,183.9,58.98,22.36,79.26,56.48,0,78.74,102.35,8.22,106.72,48.68,1.14,0.21,26.94,427.61,95.59,255.47
22Month,17.49,1037.31,57.8,1178.19,11.62,0,71.19,13.53,6.29,114.51,1191.99,406.26,0,3283.69,761,75.7,413.09,53.43,238.73,793.39,2121.21,62.04,199.64,211.67,16.67,47.55,15.3,89.78,51.38,8.61,80.9,27.33,0.27,19.95,131.46,12.57,0,13.39,104.81,0.14,213.72
