stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,2,0,0,0,0,0,4,1,4,0,0,3,35,0,0,0,0,0,0,0
72hpf,0.28,0,1.13,0,0,0,0,0.56,2.25,0.28,0.56,0,0,5.64,2.82,0,0,0,0.56,0,0,0
21Day,0,0,0,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0.1,0.52,0.1,1.35,0.52,0.42,0,0,0,0,0.1,0.1,0.1,0.1,0,0.21,21.64,0,0.21,15.5,0.42
22Month,0,0,0,0,0.55,0,0.14,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0
