stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Primordial_germ_cell,Smooth_muscle_cell
21Day,0,0.37,0,0,0,0,0,1.11,0,0,0,0,0,0
3Month,0.94,0,0.42,0.83,0.1,0.21,0.1,0,0.31,0.1,0.1,5.51,0.42,0.21
22Month,0,0,0,0.41,0,0,0,0,0.27,0,0,0,0,0
